,avg_G1_rpm,avg_G2_rpm,avg_G1_current_a,avg_G2_current_a,avg_G1_temp_c,avg_G2_temp_c,avg_brewL_pressure_bar,avg_brewR_pressure_bar,avg_brewL_temp_c,avg_brewR_temp_c,avg_brewL_flow_ml_s,avg_brewR_flow_ml_s,avg_milk_temp_c,total_ml
avg_G1_rpm,1.0,0.01524639792518576,0.006351215376225681,0.006573471413362425,,,-0.011899233977831313,-0.00534184450603375,-0.008867556415627559,-0.006515738445892262,0.001845944688968567,0.0029217674399310547,-0.005731857825995563,0.0018910626153879138
avg_G2_rpm,0.01524639792518576,1.0,0.005254067635925978,-0.01055788601436868,,,0.00505262136792151,0.0074237727527037105,-0.015482148406012964,-0.008741310016480036,0.0008644458889490584,0.0023793532706862896,0.012973826832568737,0.021496157187719373
avg_G1_current_a,0.006351215376225681,0.005254067635925978,1.0,-0.008934631465729991,,,0.01906785318784599,-0.006936027805543932,0.014721983297732204,-0.004137479460416437,-0.024564891565075516,-0.025830182693348438,-0.007860290110761751,-0.01502834659202693
avg_G2_current_a,0.006573471413362425,-0.01055788601436868,-0.008934631465729991,1.0,,,-0.010752802649961472,-0.008024346297413379,0.012721341546938868,0.0005966066263679956,-0.010363995258667779,-0.010395320707350298,-0.013603227462618267,-0.006039469174477426
avg_G1_temp_c,,,,,,,,,,,,,,
avg_G2_temp_c,,,,,,,,,,,,,,
avg_brewL_pressure_bar,-0.011899233977831313,0.00505262136792151,0.01906785318784599,-0.010752802649961472,,,1.0,-0.012270633615284425,0.006020677928805749,0.0041463412810553895,-0.0019657060225277464,-0.0024684443211610146,0.0031249130207640597,-0.0013517277840756194
avg_brewR_pressure_bar,-0.00534184450603375,0.0074237727527037105,-0.006936027805543932,-0.008024346297413379,,,-0.012270633615284425,1.0,0.009782114924222063,-0.014908687043984216,0.02087491541974023,0.01777204507233414,-0.004799721066187767,0.0034853017882308605
avg_brewL_temp_c,-0.008867556415627559,-0.015482148406012964,0.014721983297732204,0.012721341546938868,,,0.006020677928805749,0.009782114924222063,1.0,-0.0009958311777312284,-0.013514387056160326,-0.01591514550674485,-0.015068986419354074,-0.0014607924659925697
avg_brewR_temp_c,-0.006515738445892262,-0.008741310016480036,-0.004137479460416437,0.0005966066263679956,,,0.0041463412810553895,-0.014908687043984216,-0.0009958311777312284,1.0,-0.018684833615231964,-0.01714752647008118,0.001384771506568266,-0.012321852214037657
avg_brewL_flow_ml_s,0.001845944688968567,0.0008644458889490584,-0.024564891565075516,-0.010363995258667779,,,-0.0019657060225277464,0.02087491541974023,-0.013514387056160326,-0.018684833615231964,1.0,0.9861734792583118,0.44472817495122896,0.5478040313603947
avg_brewR_flow_ml_s,0.0029217674399310547,0.0023793532706862896,-0.025830182693348438,-0.010395320707350298,,,-0.0024684443211610146,0.01777204507233414,-0.01591514550674485,-0.01714752647008118,0.9861734792583118,1.0,0.4458369995828019,0.5494244383000974
avg_milk_temp_c,-0.005731857825995563,0.012973826832568737,-0.007860290110761751,-0.013603227462618267,,,0.0031249130207640597,-0.004799721066187767,-0.015068986419354074,0.001384771506568266,0.44472817495122896,0.4458369995828019,1.0,0.30475967061029124
total_ml,0.0018910626153879138,0.021496157187719373,-0.01502834659202693,-0.006039469174477426,,,-0.0013517277840756194,0.0034853017882308605,-0.0014607924659925697,-0.012321852214037657,0.5478040313603947,0.5494244383000974,0.30475967061029124,1.0
