model,censoring,Actual C,Harrell's C,Uno's C,Baseline AUC,AUC,Brier
cph,0.24010078488339245,0.9318320898906581,0.9315939936945048,0.9349140984662335,0.9881185612537559,0.9880129465837865,0.03682907973288516
cph,24.36556021821818,0.932429235973804,0.9320273159942762,0.9364868153268078,0.9835453766138732,0.9833710342525291,0.04952526779537488
cph,49.98722236514878,0.9419591601325703,0.9409988906608872,0.9440233704754136,0.98134601288535,0.9807201394509005,0.04930012856563072
rsf,0.24010078488339245,0.9318320898906581,0.8633614693805012,0.8691970500709183,0.9881185612537559,0.9511143133092329,0.10540685849357137
rsf,24.36556021821818,0.932429235973804,0.8648818841793695,0.8731012163963444,0.9835453766138732,0.9424699869350209,0.13129357382677692
rsf,49.98722236514878,0.9419591601325703,0.8759823721332846,0.8802493359767405,0.98134601288535,0.9327741519236314,0.12805863463593609
gbsa,0.24010078488339245,0.9318320898906581,0.8902640692549475,0.8949533045328534,0.9881185612537559,0.9702246386058054,0.07835659119722098
gbsa,24.36556021821818,0.932429235973804,0.888908965182834,0.8956017206296315,0.9835453766138732,0.9598713375016906,0.09300723305072786
gbsa,49.98722236514878,0.9419591601325703,0.8872293693868917,0.8912639226840516,0.98134601288535,0.9426138555630119,0.09876785266051935
deepsurv,0.24010078488339245,0.9318320898906581,0.9253981597113173,0.9292963518410243,0.9881185612537559,0.9851782051637943,0.058844718450409346
deepsurv,24.36556021821818,0.932429235973804,0.9257592603220511,0.9307079118456437,0.9835453766138732,0.9804952356046689,0.06087624221191567
deepsurv,49.98722236514878,0.9419591601325703,0.9347858836507619,0.9382480093563951,0.98134601288535,0.9768169558352976,0.06282577977329885
